Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,5,0,2,1,0
Club_Mate_Ice,0,0,0,0,0
Club_Mate_Granat,0,0,0,11,0
Club_Mate_Zero,0,0,0,0,0
,,,,,
Coca,0,0,0,16,0
Orangina,0,0,0,10,0
Fanta,0,0,0,11,0
Sprite,0,0,0,14,0
Rodeo,0,0,0,9,0
Ice Tea Colruyt,0,0,0,6,0
,,,,,
Jupiler,1,0,1,11,5
,,,,,
,,,,,
Chips Original,0,0,0,0,0
Chips Paprika,0,0,0,19,0
Gaufre normal,0,0,0,21,0
Gaufre chocolat,0,0,0,31,0
Ramen,0,0,0,0,0
