Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,8,2,0,0,5
Club_Mate_Ice,0,0,0,8,0
Club_Mate_Granat,0,0,0,18,0
Club_Mate_Zero,0,0,0,0,0
,,,,,
Coca,0,0,0,10,0
Orangina,0,0,0,9,0
Fanta,0,0,0,6,0
Sprite,0,0,0,9,0
Rodeo,0,0,0,0,0
Ice Tea Colruyt,0,0,0,8,0
,,,,,
Jupiler,0,0,2,8,9
,,,,,
,,,,,
Chips Original,0,0,0,16,0
Chips Paprika,0,0,0,24,0
Gaufre normal,0,0,0,18,0
Gaufre chocolat,0,0,0,20,0
Ramen,0,0,0,21,0
