Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,4,3,2,4,6
Club_Mate_Ice,0,0,0,0,0
Club_Mate_Granat,0,0,0,17,0
Club_Mate_Zero,0,0,0,0,0
,,,,,
Coca,0,0,0,5,0
Orangina,0,0,0,3,0
Fanta,0,0,0,1,0
Sprite,0,0,0,6,0
Rodeo,0,0,0,7,0
Ice Tea Colruyt,0,0,0,2,0
,,,,,
Jupiler,1,0,2,4,11
,,,,,
,,,,,
Chips Original,0,0,0,24,0
Chips Paprika,0,0,0,6,0
Gaufre normal,0,0,0,12,0
Gaufre chocolat,0,0,0,16,0
Ramen,0,0,0,11,0
