Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,3,2,2,11,10
Club_Mate_Ice,0,0,1,1,0
Club_Mate_Granat,0,0,1,6,0
Club_Mate_Zero,0,0,1,10,0
,,,,,
Coca,0,0,0,11,0
Orangina,0,0,0,5,0
Fanta,0,0,0,2,0
Sprite,0,0,0,8,0
Rodeo,0,0,0,7,0
Oasis,0,0,0,0,0
,,,,,
Jupiler,1,0,3,6,11
Faxe,0,0,0,0,0
,,,,,
Chips Original,0,0,0,21,0
Chips Paprika,0,0,0,5,0
Gaufre normal,0,0,0,2,0
Gaufre chocolat,0,0,0,5,0
Ramen,0,0,0,19,0
