Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,1,2,3,16,9
Club_Mate_Ice,0,0,0,0,0
Club_Mate_Granat,0,0,1,3,0
Club_Mate_Zero,0,0,1,12,0
,,,,,
Coca,0,0,0,11,0
Orangina,0,0,0,8,0
Fanta,0,0,0,8,0
Sprite,0,0,0,6,0
Rodeo,0,0,0,6,0
Ice Tea Colruyt,0,0,0,10,0
,,,,,
Jupiler,1,0,2,10,10
,,,,,
,,,,,
Chips Original,0,0,0,28,0
Chips Paprika,0,0,0,29,0
Gaufre normal,0,0,0,21,0
Gaufre chocolat,0,0,0,28,0
Ramen,0,0,0,17,0
